"game_type","weekday","location","total_line","away_rest","home_rest","div_game","roof","surface","temp","wind","total_team_elo","total_qb_elo","home_total_offense_rank","home_total_defense_rank","away_total_defense_rank","away_total_offense_rank","off_def_diff"
"REG","Monday","Home",47.5,8,8,1,"outdoors","grass",50,19,3073.29814993,17.12066476134,9,8,10,5,-4
"REG","Sunday","Home",46,7,14,0,"outdoors","fieldturf",53,10,3083.7477131,-1.31993424998,6,18,15,17,-10
"REG","Sunday","Home",48.5,7,8,1,"dome","fieldturf",72,0,3058.00594365,22.71238591259,1,31,10,29,-11
"REG","Sunday","Home",45,7,7,1,"outdoors","grass",41,10,2720.87999294,-5.12020421283,10,6,20,16,0
"REG","Sunday","Home",38,7,13,1,"outdoors","astroturf",70,5,2745.39192578,-38.8729855498,27,1,24,13,15
"REG","Sunday","Home",46.5,7,7,0,"outdoors","grass",88,13,3129.41924719,8.963138904976,32,32,32,32,0
"REG","Sunday","Home",41,10,7,1,"outdoors","fieldturf",30,7,3071.03146166,16.95926867832,7,32,25,14,-36
"REG","Monday","Home",47,15,8,1,"outdoors","grass",43,5,3070.47299979082,10.9942567374004,21,27,28,9,-25
"REG","Sunday","Home",48,7,7,0,"outdoors","grass",57,7,2754.37729792743,60.4670597925745,26,19,7,11,11
"REG","Sunday","Home",46,6,7,0,"outdoors","fieldturf",55,3,3100.21781516,5.2720656799,29,17,29,1,-16
"REG","Sunday","Home",44,7,14,1,"outdoors","grass",64,0,3043.53777439,10.87826786802,21,28,4,11,0
"REG","Sunday","Home",46,7,8,1,"dome","fieldturf",72,0,3084.38937439,5.6662231346,7,31,10,12,-22
"REG","Sunday","Home",43.5,7,7,0,"outdoors","grass",23,13,3060.82598363,-93.7997023562,3,14,22,16,-17
"REG","Sunday","Home",41,6,7,0,"outdoors","grass",72,0,2856.91539327,-11.54265772246,28,27,20,16,-3
"REG","Sunday","Home",41.5,7,7,0,"outdoors","astroplay",47,13,2795.12243007,-3.22606471767,21,11,10,25,25
"REG","Sunday","Home",43,14,7,0,"outdoors","grass",70,0,3049.6492909,32.09903740325,15,27,28,5,-35
"REG","Sunday","Home",53.5,10,6,0,"outdoors","fieldturf",52,9,3260.37952479,40.2174194143,11,32,24,4,-41
