total_line,temp,wind,total_qb_elo,team_elo_diff,qb_elo_diff,avg_home_total_yards,avg_away_total_yards,avg_home_total_yards_against,avg_away_total_yards_against,div_game,roof_closed,roof_dome,roof_open,roof_outdoors,surface_astroplay,surface_astroturf,surface_dessograss,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf,total_result
46.0,27,8,18.23513075513,120.38102474,21.56409081867,334.2,416.4,308.7,336.3,0,0,0,0,1,0,0,0,0,1,0,0,Over
42.0,46,15,9.67336234253,50.5675090500001,25.37254006247,366.222222222222,362.444444444444,394.866666666667,317.296296296296,0,0,0,0,1,0,0,0,0,1,0,0,Under
46.5,72,0,-7.3502163021,107.57088251,44.5867849757,402.6,326.7,307.6,340.6,0,0,1,0,0,0,1,0,0,0,0,0,Over
36.0,47,15,6.096459180955,84.49149797,7.806456918325,299.0,265.5,259.45,320.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
43.0,72,0,30.12114504864,97.5770389499999,11.19789597816,340.6,357.3,326.7,419.3,0,0,1,0,0,0,1,0,0,0,0,0,Over
36.5,40,9,3.22566226491,37.01393244,0.40729067359,349.2,283.7,490.6,281.94,0,0,0,0,1,0,0,0,0,1,0,0,Over
38.0,39,10,26.9448912685,200.04789131,4.3270042119,323.818181818182,307.6,294.333333333333,402.6,1,0,0,0,1,0,1,0,0,0,0,0,Over
35.5,44,6,-36.5902862406,346.91320242,71.906949563,329.3,259.272727272727,331.53,298.848484848485,1,0,0,0,1,0,0,0,0,1,0,0,Under
42.5,39,13,-130.7603691583,248.81924718,46.8164751771,419.3,304.444444444444,357.3,295.777777777778,1,0,0,0,1,0,0,0,0,1,0,0,Over
38.5,83,12,5.27749421383,78.7890622000002,12.04473175087,295.777777777778,336.3,304.444444444444,416.4,1,0,0,0,1,0,0,0,0,1,0,0,Under
